,BANK,ENV,MODEL,INS,SCL,CONT,LAYERS,PTWD,FTWD,PER TEST,PER SUB
0,MFC,D2,Bigram,-32.0,2.0,13.0,5.0,0.1,1e-05,49.71,42.9
1,MFC,D2,Bigram,-16.0,2.0,13.0,5.0,0.1,1e-05,39.47,31.98
2,MFC,D2,Bigram,-8.0,2.0,13.0,5.0,0.1,1e-05,33.42,24.78
3,MFC,D2,Bigram,-4.0,2.0,13.0,5.0,0.1,1e-05,31.79,22.83
4,MFC,D2,Bigram,-2.0,2.0,13.0,5.0,0.1,1e-05,30.56,21.7
5,MFC,D2,Bigram,0.0,2.0,13.0,5.0,0.1,1e-05,29.6,20.31
6,MFC,D2,Bigram,2.0,2.0,13.0,5.0,0.1,1e-05,28.98,19.25
7,MFC,D2,Bigram,4.0,2.0,13.0,5.0,0.1,1e-05,28.75,18.75
8,MFC,D2,Bigram,8.0,2.0,13.0,5.0,0.1,1e-05,30.47,19.63
